"hhid_village","hhid","group","variable","value"
"010A1","010A0215","Control","hh_15_2",-1.64278958895122
"010A1","010A0215","Control","hh_26_",-0.459291037198929
"010A1","010A0215","Control","hh_27_",-0.799934826894962
"010A1","010A0215","Control","hh_30_",0.450119892702409
"010A1","010A0215","Control","hh_35_",-0.243609714104631
"010A5","010A0237","Control","hh_15_2",-0.386402390719476
"010A5","010A0237","Control","hh_26_",-0.543566619135795
"010A5","010A0237","Control","hh_27_",-0.104970813325661
"010A5","010A0237","Control","hh_30_",-1.60862523775082
"010A5","010A0237","Control","hh_35_",1.00086142104955
"010A1","010A0214","Control","hh_15_2",-0.109582827955158
"010A1","010A0214","Control","hh_26_",0.758399227099528
"010A1","010A0214","Control","hh_27_",2.15886632801593
"010A1","010A0214","Control","hh_30_",-0.910272462544896
"010A1","010A0214","Control","hh_35_",1.1298139759776
"010A1","010A0290","Control","hh_15_2",1.36749578382031
"010A1","010A0290","Control","hh_26_",0.868714718380413
"010A1","010A0290","Control","hh_27_",0.455355061551239
"010A1","010A0290","Control","hh_30_",1.72493408518962
"010A1","010A0290","Control","hh_35_",-0.459396996297664
"010A2","010A0249","Control","hh_15_2",-0.700109374975515
"010A2","010A0249","Control","hh_26_",0.23475738335916
"010A2","010A0249","Control","hh_27_",0.275042719089914
"010A2","010A0249","Control","hh_30_",1.18001669814073
"010A2","010A0249","Control","hh_35_",1.10709049924586
"010A4","010A0228","Control","hh_15_2",0.173265923300518
"010A4","010A0228","Control","hh_26_",-0.27420602873508
"010A4","010A0228","Control","hh_27_",1.59926100473562
"010A4","010A0228","Control","hh_30_",-2.0094318620504
"010A4","010A0228","Control","hh_35_",-0.717710940876472
"010A2","010A0282","Control","hh_15_2",0.419859464463743
"010A2","010A0282","Control","hh_26_",-1.19741044774634
"010A2","010A0282","Control","hh_27_",0.324315667626734
"010A2","010A0282","Control","hh_30_",-0.720025156784691
"010A2","010A0282","Control","hh_35_",-0.503789390877801
"010A2","010A0259","Control","hh_15_2",-0.744124164088969
"010A2","010A0259","Control","hh_26_",0.98637962499947
"010A2","010A0259","Control","hh_27_",-0.0994905788613945
"010A2","010A0259","Control","hh_30_",-0.43916832435523
"010A2","010A0259","Control","hh_35_",0.744348384362206
"010A1","010A0217","Control","hh_15_2",2.44476307368858
"010A1","010A0217","Control","hh_26_",0.0433385911697492
"010A1","010A0217","Control","hh_27_",0.158722162000407
"010A1","010A0217","Control","hh_30_",1.68572633403391
"010A1","010A0217","Control","hh_35_",0.193289045023496
"010A4","010A0250","Control","hh_15_2",-0.882818219593597
"010A4","010A0250","Control","hh_26_",-0.133278289659587
"010A4","010A0250","Control","hh_27_",0.404407309751135
"010A4","010A0250","Control","hh_30_",0.609211045221279
"010A4","010A0250","Control","hh_35_",-1.06165286558726
"010A1","010A0239","Control","hh_15_2",1.69640893028886
"010A1","010A0239","Control","hh_26_",1.41022341283386
"010A1","010A0239","Control","hh_27_",0.51978288278516
"010A1","010A0239","Control","hh_30_",-0.570966625732643
"010A1","010A0239","Control","hh_35_",-0.198384751793595
"010A5","010A0234","Control","hh_15_2",-2.59312749743872
"010A5","010A0234","Control","hh_26_",-1.197000734894
"010A5","010A0234","Control","hh_27_",-1.27588100537801
"010A5","010A0234","Control","hh_30_",-0.669991292067641
"010A5","010A0234","Control","hh_35_",1.66983210030119
"010A4","010A0276","Control","hh_15_2",-0.241528785789339
"010A4","010A0276","Control","hh_26_",0.445831033412512
"010A4","010A0276","Control","hh_27_",-0.536686694770467
"010A4","010A0276","Control","hh_30_",0.628084235729755
"010A4","010A0276","Control","hh_35_",0.894202508439361
"010A2","010A0294","Control","hh_15_2",1.23317394384067
"010A2","010A0294","Control","hh_26_",0.52086267587243
"010A2","010A0294","Control","hh_27_",1.99005558908781
"010A2","010A0294","Control","hh_30_",-0.952480339339735
"010A2","010A0294","Control","hh_35_",0.625551856297354
"010A2","010A0235","Control","hh_15_2",0.733247337071395
"010A2","010A0235","Control","hh_26_",-0.581964930195725
"010A2","010A0235","Control","hh_27_",0.98339513998206
"010A2","010A0235","Control","hh_30_",0.428492715749619
